Postcode,Median_Income
7012,43261.28571
7015,42552.57143
7016,36591.85714
7017,44359.85714
7018,42207.42857
7019,37751.71429
7020,44757.85714
7021,43165.28571
7022,40530.42857
7023,40824.75
7024,45432.42857
7025,40409
7026,36978
7030,38513.42857
7050,40756.42857
7051,43325.33333
7052,42791.42857
7053,45001.28571
7054,42917.14286
7055,43324.85714
7109,36123.42857
7112,31398
7113,34258
7116,33391.57143
7117,34473.14286
7120,32691
7140,37168.71429
7150,36830.85714
7155,35768.57143
7162,33447.71429
7163,39368
7170,46112.71429
7171,42003.28571
7172,38902.71429
7173,38644
7177,33935.71429
7179,30915.42857
7184,29764
7190,31659.28571
7209,32935.42857
7210,34207.57143
7212,38201.28571
7214,30599.42857
7215,30530.85714
7216,27691.85714
7248,33927
7249,39744.71429
7250,40892.85714
7252,40717.57143
7253,36291.28571
7254,36009.71429
7255,33935.28571
7256,39516.85714
7258,45336.42857
7259,36618.71429
7260,34950.28571
7262,35776.14286
7263,28947.57143
7264,28214.85714
7267,38260.57143
7268,39106.14286
7270,33732
7275,35746.42857
7276,35465.42857
7277,40113.57143
7290,41076.57143
7291,41631.42857
7292,37127.57143
7300,41194
7301,37836.14286
7302,36596.14286
7303,35556.57143
7304,32222.85714
7305,34930.57143
7306,33168.57143
7307,38419
7310,36755.71429
7315,37247.71429
7316,38967.28571
7320,38932.14286
7321,37138.28571
7322,39435.57143
7325,37480
7330,38635.71429
7331,39174.28571
7467,38898.85714
7468,41162.85714
7469,42750.42857
7470,50393.42857
3000,29022.85714
3001,33656.33333
3002,61011.14286
3003,42899.28571
3004,52881.85714
3006,47508.28571
3008,49027.57143
3011,41923.42857
3012,44137
3013,54346.42857
3015,54528
3016,53151
3018,47562.42857
3019,34920.14286
3020,36393
3021,35357.14286
3022,39437.85714
3023,42902
3024,44041
3025,43913.42857
3026,50670
3027,49221.4
3028,42973.14286
3029,41902.71429
3030,44921.57143
3031,50187.71429
3032,46964
3033,44153.71429
3034,42604.85714
3036,45417.42857
3037,43277.57143
3038,42607.42857
3039,51171.42857
3040,49550.28571
3041,48394.57143
3042,46005.71429
3043,43108.57143
3044,46556.71429
3046,40080
3047,32116.85714
3048,33003.28571
3049,43488.71429
3051,40500.85714
3052,39780.42857
3053,34887.85714
3054,48312
3055,44599.14286
3056,44970.85714
3057,47367.28571
3058,43115
3059,44090.28571
3060,35214.57143
3061,33273
3063,45300
3064,40804.42857
3065,47580.14286
3066,48726.71429
3067,50487.71429
3068,52369.57143
3070,49680.42857
3071,45845.42857
3072,42411
3073,39719.14286
3074,36462
3075,36971
3076,40188.14286
3078,49920.85714
3079,51671.28571
3081,39455.57143
3082,41451.85714
3083,38021.85714
3084,46689
3085,46135
3087,45272.14286
3088,45429.28571
3089,46592.57143
3090,48718
3091,44403.28571
3093,48784.57143
3094,46326
3095,46762.14286
3096,43167.42857
3097,42080.28571
3099,41932.57143
3101,51808.57143
3102,49426.85714
3103,44062.42857
3104,43838.85714
3105,41106.57143
3106,41771
3107,40254
3108,36597.28571
3109,37479.14286
3111,42279.28571
3113,46499.28571
3114,47982.85714
3115,45566.57143
3116,42279.28571
3121,55438.57143
3122,52250.71429
3123,53396
3124,49811.42857
3125,35450.28571
3126,54624
3127,49948.42857
3128,35444.14286
3129,40793
3130,42536.71429
3131,40908.85714
3132,44398.71429
3133,39710.28571
3134,43122.57143
3135,43424.14286
3136,42805
3137,42327.71429
3138,42766.42857
3139,40210
3140,42062.85714
3141,54591.85714
3142,63252.85714
3143,56648.71429
3144,59292.42857
3145,49795.28571
3146,53538
3147,46614.14286
3148,41244.42857
3149,40495.42857
3150,37955.71429
3151,36257.57143
3152,40600.71429
3153,42400.85714
3154,43361.57143
3155,42163.71429
3156,43343
3158,43216.14286
3159,43170.14286
3160,43118.85714
3161,52169.28571
3162,48494.85714
3163,45444.28571
3165,45073
3166,43733.57143
3167,41709.42857
3168,32391.28571
3169,37318.85714
3170,41379.14286
3171,32671
3172,38584.57143
3173,40644.14286
3174,36556.42857
3175,35749.28571
3177,35606.14286
3178,43968.14286
3179,41325.57143
3180,41338.14286
3181,52322.28571
3182,48186.57143
3183,47827.14286
3184,55707.28571
3185,50308.28571
3186,57658.14286
3187,49873.85714
3188,50272.14286
3189,43168.85714
3190,47119
3191,52805.85714
3192,44836.71429
3193,48806.71429
3194,46038.57143
3195,47103.57143
3196,45893.28571
3197,45615.14286
3198,42604.42857
3199,40307.14286
3200,37585.71429
3201,42975.85714
3202,45739
3204,46205.71429
3205,55181.28571
3206,62056.28571
3207,62001.85714
3211,43481.85714
3212,44302
3213,42972
3214,36316.85714
3215,40651.71429
3216,40096.57143
3217,49082
3218,43777.57143
3219,38974.42857
3220,45118.71429
3221,42929.57143
3222,38035.71429
3223,33288.42857
3224,40435.85714
3225,35812.14286
3226,40232.57143
3227,41748.85714
3228,42906.42857
3230,35000.28571
3231,34627.42857
3232,33716
3233,30074.42857
3235,34134
3239,34036
3240,39687.42857
3241,35987.71429
3242,33503.71429
3243,32155.2
3249,34511.28571
3250,38113.85714
3251,33476.28571
3260,34791.28571
3264,35847.42857
3265,37140.14286
3266,34780.57143
3268,33719.42857
3269,33351.57143
3272,33022.14286
3275,42515
3276,34993.28571
3277,39311
3279,44250
